Rent,leasing_rate,size,stories,age,renovated,class_a,class_b,amenities,net,cluster_rent,Precipitation,cooling_costs,heating_costs,green_rating
19,96.02,281325,12,119,1,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
19.13,94.22,130976,22,80,1,0,0,0,0,23.275,41.32,0.259330302,0.6463071,0
19.5,87.12,125729,23,79,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
20,47.14,66600,6,107,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
20,92.46,1056408,50,15,0,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
20,22.35,13909,4,77,0,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
20.5,96.09,159000,17,46,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
20.53,94.35,988171,44,33,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
20.91,86.79,591430,37,32,1,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
21.5,91.82,243040,19,103,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
21.97,91.63,940639,50,17,0,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
22.11,93.96,158100,16,114,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
22.5,83.02,200187,16,95,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
22.5,83.62,219273,15,114,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
22.66,77.6,197621,12,107,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
22.75,100,157409,25,80,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
23.12,96.44,178000,21,84,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
23.43,95.64,174000,38,78,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
23.5,99.42,1904229,57,40,1,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
23.5,68.55,798782,40,21,0,1,0,1,1,23.275,41.32,0.259330302,0.6463071,0
24,96.28,420000,21,93,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
24,72.32,884004,17,102,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
24.35,20.21,43049,5,107,1,0,0,0,0,23.275,41.32,0.259330302,0.6463071,0
24.47,60.55,896769,15,87,0,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
24.5,84.6,455813,41,80,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
24.5,76.61,237070,19,50,0,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
24.55,68.8,206000,22,81,0,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
24.62,93.17,384510,36,27,0,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
25,52.46,640554,16,95,0,0,1,0,0,23.275,41.32,0.259330302,0.6463071,0
25.45,91.2,285000,22,97,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
25.51,84.78,486602,47,78,0,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
26.45,93.27,1504364,37,4,0,1,0,0,0,23.275,41.32,0.259330302,0.6463071,0
26.49,91.54,402010,38,76,1,1,0,0,0,23.275,41.32,0.259330302,0.6463071,0
26.63,95.02,294000,21,93,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
26.84,87.74,53642,4,7,0,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
28,87.62,879000,28,26,1,1,0,1,0,23.275,41.32,0.259330302,0.6463071,0
28.26,85.87,363657,30,37,0,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
29.73,40.39,104518,57,2,0,1,0,0,0,23.275,41.32,0.259330302,0.6463071,0
29.76,54.37,290000,35,91,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
38.47,95.86,579778,22,93,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
40,75.19,259000,22,93,1,0,0,1,0,23.275,41.32,0.259330302,0.6463071,0
80,100,691410,26,29,1,0,1,1,0,23.275,41.32,0.259330302,0.6463071,0
29,87.79,550101,43,24,0,1,0,1,0,34,22.71,0.04914,0.282117,1
19.76,93.91,65625,9,91,0,0,1,1,0,34,22.71,0.049150058,0.282011549,0
22.95,84.47,23534,5,90,0,0,0,0,0,34,22.71,0.049150058,0.282011549,0
23,100,216000,12,67,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
24,100,53577,14,90,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
24,100,13400,6,77,0,0,0,0,0,34,22.71,0.049150058,0.282011549,0
24,95.42,120000,13,98,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
24,80.47,9729,5,100,0,0,0,0,0,34,22.71,0.049150058,0.282011549,0
25,81.39,233654,28,77,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
26,80,22355,5,66,1,0,0,0,0,34,22.71,0.049150058,0.282011549,0
27,83.25,30000,5,100,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
27,72.02,64955,7,83,1,0,0,0,0,34,22.71,0.049150058,0.282011549,0
27,100,30000,7,80,0,0,0,0,1,34,22.71,0.049150058,0.282011549,0
27.09,64.18,19260,8,100,1,0,0,0,0,34,22.71,0.049150058,0.282011549,0
28.6,18.44,7050,3,101,0,0,0,0,0,34,22.71,0.049150058,0.282011549,0
29,98.22,116300,21,109,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
29.23,96.82,24250,4,100,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
29.93,78.55,430523,25,52,1,0,1,1,0,34,22.71,0.049150058,0.282011549,0
30,95.52,572041,22,85,0,0,1,0,0,34,22.71,0.049150058,0.282011549,0
30,68.85,15832,6,99,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
30,24.02,25600,7,100,0,0,0,0,0,34,22.71,0.049150058,0.282011549,0
30.37,89.35,128838,14,94,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
30.5,98.46,99465,21,85,0,0,1,0,0,34,22.71,0.049150058,0.282011549,0
31.5,85.71,19600,6,82,1,0,0,0,0,34,22.71,0.049150058,0.282011549,0
31.99,92.2,106000,11,94,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
32,96.16,103000,7,99,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
33,98.96,65000,8,93,0,0,0,0,0,34,22.71,0.049150058,0.282011549,0
33,100,19000,5,100,0,0,0,0,0,34,22.71,0.049150058,0.282011549,0
34,93.54,32800,8,99,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
34.18,95.71,711000,48,21,0,1,0,0,0,34,22.71,0.049150058,0.282011549,0
34.5,88.46,89927,11,85,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
34.55,90.6,434569,22,115,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
34.75,100,39900,7,100,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
35,100,15150,6,100,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
35,79.3,51086,16,81,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
35,84.85,33000,6,100,0,0,1,0,0,34,22.71,0.049150058,0.282011549,0
35.14,66.12,18021,7,79,1,0,0,0,0,34,22.71,0.049150058,0.282011549,0
35.2,98.2,265363,16,104,0,0,1,0,0,34,22.71,0.049150058,0.282011549,0
35.5,88.7,37544,10,97,0,0,1,0,0,34,22.71,0.049150058,0.282011549,0
36.14,95.36,51051,6,93,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
37.5,100,71345,15,100,1,0,1,1,0,34,22.71,0.049150058,0.282011549,0
38,88.38,240546,17,27,0,1,0,1,0,34,22.71,0.049150058,0.282011549,0
38,83.1,623352,38,28,0,1,0,1,0,34,22.71,0.049150058,0.282011549,0
39,98.76,228470,22,21,0,1,0,1,0,34,22.71,0.049150058,0.282011549,0
39.56,41.58,180000,14,99,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
41.5,31.6,79280,7,98,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
41.5,83.81,486711,42,32,0,1,0,0,0,34,22.71,0.049150058,0.282011549,0
42,100,51376,11,99,1,0,1,1,0,34,22.71,0.049150058,0.282011549,0
43,100,303645,18,48,1,1,0,1,0,34,22.71,0.049150058,0.282011549,0
45,91.92,220000,26,21,0,1,0,1,0,34,22.71,0.049150058,0.282011549,0
45,100,108691,9,103,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
45.95,100,428420,30,29,0,1,0,1,0,34,22.71,0.049150058,0.282011549,0
50.25,95.27,56000,16,86,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
55,100,43956,10,101,1,0,1,0,0,34,22.71,0.049150058,0.282011549,0
85,59.21,186072,10,101,1,0,1,1,0,34,22.71,0.049150058,0.282011549,0
99.42,95.1,1708748,52,38,0,1,0,1,0,34,22.71,0.049150058,0.282011549,0
12.75,55.82,80228,11,84,1,0,1,1,0,23.12,41.32,0.259329,0.648108,1
14.75,83.33,136800,13,84,0,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
15,93.08,39761,13,83,1,0,0,0,0,23.12,41.32,0.259330302,0.6463071,0
16.23,94.36,625696,23,97,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
16.29,93.77,1601744,48,34,1,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
16.78,79.31,733633,37,21,0,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
17.37,72.44,803046,40,26,1,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
18.06,86.28,401000,19,93,1,0,0,0,0,23.12,41.32,0.259330302,0.6463071,0
19,91.35,78100,22,94,1,0,1,0,0,23.12,41.32,0.259330302,0.6463071,0
19,95.46,173612,14,104,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
19,87.9,111323,14,78,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
19,96.02,281325,12,119,1,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
19.13,94.22,130976,22,80,1,0,0,0,0,23.12,41.32,0.259330302,0.6463071,0
19.5,87.12,125729,23,79,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
20,47.14,66600,6,107,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
20,92.46,1056408,50,15,0,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
20,22.35,13909,4,77,0,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
20.5,96.09,159000,17,46,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
20.53,94.35,988171,44,33,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
20.91,86.79,591430,37,32,1,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
21.5,91.82,243040,19,103,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
21.97,91.63,940639,50,17,0,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
22.11,93.96,158100,16,114,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
22.5,83.62,219273,15,114,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
22.66,77.6,197621,12,107,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
22.75,100,157409,25,80,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
23.12,96.44,178000,21,84,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
23.43,95.64,174000,38,78,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
23.5,99.42,1904229,57,40,1,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
23.5,68.55,798782,40,21,0,1,0,1,1,23.12,41.32,0.259330302,0.6463071,0
24,96.28,420000,21,93,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
24,72.32,884004,17,102,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
24.35,20.21,43049,5,107,1,0,0,0,0,23.12,41.32,0.259330302,0.6463071,0
24.47,60.55,896769,15,87,0,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
24.5,84.6,455813,41,80,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
24.5,76.61,237070,19,50,0,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
24.55,68.8,206000,22,81,0,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
24.62,93.17,384510,36,27,0,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
25,52.46,640554,16,95,0,0,1,0,0,23.12,41.32,0.259330302,0.6463071,0
25.45,91.2,285000,22,97,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
25.51,84.78,486602,47,78,0,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
26.45,93.27,1504364,37,4,0,1,0,0,0,23.12,41.32,0.259330302,0.6463071,0
26.49,91.54,402010,38,76,1,1,0,0,0,23.12,41.32,0.259330302,0.6463071,0
26.63,95.02,294000,21,93,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
26.84,87.74,53642,4,7,0,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
28,87.62,879000,28,26,1,1,0,1,0,23.12,41.32,0.259330302,0.6463071,0
28.26,85.87,363657,30,37,0,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
29.73,40.39,104518,57,2,0,1,0,0,0,23.12,41.32,0.259330302,0.6463071,0
29.76,54.37,290000,35,91,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
38.47,95.86,579778,22,93,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
40,75.19,259000,22,93,1,0,0,1,0,23.12,41.32,0.259330302,0.6463071,0
80,100,691410,26,29,1,0,1,1,0,23.12,41.32,0.259330302,0.6463071,0
32.04,67.2,465363,27,19,0,1,0,1,0,33,22.71,0.04914,0.282117,1
24,100,53577,14,90,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
25,81.39,233654,28,77,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
26,80,22355,5,66,1,0,0,0,0,33,22.71,0.049150058,0.282011549,0
27,83.25,30000,5,100,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
27,72.02,64955,7,83,1,0,0,0,0,33,22.71,0.049150058,0.282011549,0
27,100,30000,7,80,0,0,0,0,1,33,22.71,0.049150058,0.282011549,0
29.23,96.82,24250,4,100,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
30,95.52,572041,22,85,0,0,1,0,0,33,22.71,0.049150058,0.282011549,0
30,68.85,15832,6,99,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
30.37,89.35,128838,14,94,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
30.5,98.46,99465,21,85,0,0,1,0,0,33,22.71,0.049150058,0.282011549,0
32,85.26,57000,6,100,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
33,98.96,65000,8,93,0,0,0,0,0,33,22.71,0.049150058,0.282011549,0
33,100,19000,5,100,0,0,0,0,0,33,22.71,0.049150058,0.282011549,0
34.75,100,39900,7,100,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
35,100,15150,6,100,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
35,84.85,33000,6,100,0,0,1,0,0,33,22.71,0.049150058,0.282011549,0
35.5,88.7,37544,10,97,0,0,1,0,0,33,22.71,0.049150058,0.282011549,0
36,98.23,373470,8,79,1,1,0,0,0,33,22.71,0.049150058,0.282011549,0
37.5,100,71345,15,100,1,0,1,1,0,33,22.71,0.049150058,0.282011549,0
38,88.38,240546,17,27,0,1,0,1,0,33,22.71,0.049150058,0.282011549,0
38,83.1,623352,38,28,0,1,0,1,0,33,22.71,0.049150058,0.282011549,0
39.56,41.58,180000,14,99,1,0,1,0,0,33,22.71,0.049150058,0.282011549,0
41.5,83.81,486711,42,32,0,1,0,0,0,33,22.71,0.049150058,0.282011549,0
43,100,303645,18,48,1,1,0,1,0,33,22.71,0.049150058,0.282011549,0
43.01,67.08,249918,22,17,0,1,0,0,0,33,22.71,0.049150058,0.282011549,0
45,91.92,220000,26,21,0,1,0,1,0,33,22.71,0.049150058,0.282011549,0
45.95,100,428420,30,29,0,1,0,1,0,33,22.71,0.049150058,0.282011549,0
19.79,85.59,90045,3,20,0,1,0,0,1,20.825,52.08,0.442959,0.613888,1
21.86,95.13,177820,3,18,0,1,0,1,1,20.825,52.08,0.442390973,0.614531863,0
22,61.47,146448,3,21,0,1,0,0,0,20.825,52.08,0.442390973,0.614531863,0
31.8,80.81,490803,20,25,1,1,0,1,0,30,22.71,0.258552,0.146157,1
28.2,53.11,321800,15,35,0,1,0,1,0,30,22.71,0.258604921,0.146102369,0
26,100,1117000,60,15,0,1,0,1,0,19.635,52.84,0.40509,0.401849,1
10,93.19,88993,5,79,1,0,1,0,0,19.635,52.84,0.405361372,0.401258253,0
13.5,78.16,25184,2,57,1,0,1,0,0,19.635,52.84,0.405361372,0.401258253,0
15.6,80.84,22400,7,82,1,0,0,0,0,19.635,52.84,0.405361372,0.401258253,0
17,85.91,30520,3,77,1,0,1,0,0,19.635,52.84,0.405361372,0.401258253,0
19.5,95.97,210426,17,45,1,1,0,0,0,19.635,52.84,0.405361372,0.401258253,0
19.5,79.5,172385,17,83,1,0,1,1,0,19.635,52.84,0.405361372,0.401258253,0
19.77,89.97,163742,16,50,0,0,1,1,0,19.635,52.84,0.405361372,0.401258253,0
22,99.16,529817,20,24,1,1,0,1,0,19.635,52.84,0.405361372,0.401258253,0
22,96.87,475043,23,21,1,1,0,1,0,19.635,52.84,0.405361372,0.401258253,0
22.05,99.09,716000,30,36,0,0,1,1,0,19.635,52.84,0.405361372,0.401258253,0
28,98.51,625026,27,26,1,1,0,1,0,19.635,52.84,0.405361372,0.401258253,0
29.14,63.78,23294,2,93,1,0,0,1,0,19.635,52.84,0.405361372,0.401258253,0
11.75,78.76,413895,25,22,0,1,0,1,0,9,23.16,0.221038,0.731442,1
5.5,64.88,197000,8,27,0,0,1,1,0,9,23.16,0.220763773,0.72984215,0
6,56.82,38673,4,60,0,0,1,0,0,9,23.16,0.220763773,0.72984215,0
6.5,77.02,115452,9,25,1,0,1,0,0,9,23.16,0.220763773,0.72984215,0
8,85.62,259000,12,98,0,0,1,1,0,9,23.16,0.220763773,0.72984215,0
8,78.03,198716,13,85,0,0,1,0,0,9,23.16,0.220763773,0.72984215,0
8,86.6,157600,12,91,0,0,1,0,0,9,23.16,0.220763773,0.72984215,0
8.93,86.92,178858,12,78,0,0,1,1,0,9,23.16,0.220763773,0.72984215,0
9,92.82,537000,17,45,1,0,1,1,0,9,23.16,0.220763773,0.72984215,0
9,62.09,23210,5,107,1,0,0,0,0,9,23.16,0.220763773,0.72984215,0
9,77.52,141558,26,78,1,0,1,0,0,9,23.16,0.220763773,0.72984215,0
9,88,350547,12,81,1,0,1,1,0,9,23.16,0.220763773,0.72984215,0
9,84.77,299908,14,41,1,0,1,1,0,9,23.16,0.220763773,0.72984215,0
9,77,96476,12,81,1,0,1,0,0,9,23.16,0.220763773,0.72984215,0
10,87.47,276000,13,45,1,0,1,1,0,9,23.16,0.220763773,0.72984215,0
10,87.95,300000,18,84,0,0,1,0,0,9,23.16,0.220763773,0.72984215,0
11.64,94.03,1308000,52,35,1,1,0,1,1,9,23.16,0.220763773,0.72984215,0
11.77,93.07,415824,20,37,1,0,1,0,0,9,23.16,0.220763773,0.72984215,0
12,76.33,438197,16,20,1,0,1,0,0,9,23.16,0.220763773,0.72984215,0
14,87.14,235441,11,122,0,0,1,0,0,9,23.16,0.220763773,0.72984215,0
14.5,82.15,109942,12,78,0,0,1,0,0,9,23.16,0.220763773,0.72984215,0
14.5,85.81,393902,27,47,1,1,0,1,0,9,23.16,0.220763773,0.72984215,0
14.5,91.06,315783,36,20,1,1,0,1,0,9,23.16,0.220763773,0.72984215,0
15.5,95.14,592953,40,18,0,1,0,0,0,9,23.16,0.220763773,0.72984215,0
15.5,98.75,1081641,50,24,0,1,0,1,0,9,23.16,0.220763773,0.72984215,0
23,76.82,388325,22,22,0,1,0,1,0,20.49,42.57,1.14231,0.051512,1
15.9,44.5,10000,2,87,1,0,0,0,0,20.49,42.57,1.144064785,0.051630406,0
19,68.86,46182,6,33,1,0,1,1,0,20.49,42.57,1.144064785,0.051630406,0
19.21,87.04,509701,36,35,1,1,0,1,0,20.49,42.57,1.144064785,0.051630406,0
20,65.94,515965,31,19,0,1,0,1,0,20.49,42.57,1.144064785,0.051630406,0
20.98,77.73,745911,38,26,1,1,0,1,0,20.49,42.57,1.144064785,0.051630406,0
24.5,93.15,789636,40,21,0,1,0,1,0,20.49,42.57,1.144064785,0.051630406,0
27,97.62,552080,42,15,0,1,0,1,0,20.49,42.57,1.144064785,0.051630406,0
28.59,82.62,326174,6,25,0,0,1,0,0,25.5,22.71,0.04914,0.282117,1
18,66.9,7552,3,78,1,0,0,0,0,25.5,22.71,0.049150058,0.282011549,0
19.8,62.78,25000,4,92,0,0,0,0,0,25.5,22.71,0.049150058,0.282011549,0
20.74,87.35,77000,16,80,0,0,1,1,0,25.5,22.71,0.049150058,0.282011549,0
21,92.44,16280,4,18,0,0,0,0,0,25.5,22.71,0.049150058,0.282011549,0
21.59,38.57,54553,7,83,1,0,1,1,0,25.5,22.71,0.049150058,0.282011549,0
21.6,75.35,73312,10,96,1,0,1,0,0,25.5,22.71,0.049150058,0.282011549,0
23.08,82.11,60000,4,95,1,0,1,0,0,25.5,22.71,0.049150058,0.282011549,0
23.4,77.55,136769,10,81,1,1,0,1,0,25.5,22.71,0.049150058,0.282011549,0
24,97.86,28000,3,20,0,0,0,0,0,25.5,22.71,0.049150058,0.282011549,0
25.2,85.42,19474,7,93,1,0,0,0,0,25.5,22.71,0.049150058,0.282011549,0
25.8,24.58,82298,20,101,1,0,1,0,0,25.5,22.71,0.049150058,0.282011549,0
26.92,21,20000,4,21,0,0,1,0,0,25.5,22.71,0.049150058,0.282011549,0
27.87,83.05,325000,15,50,0,1,0,1,0,25.5,22.71,0.049150058,0.282011549,0
28.8,100,24681,3,21,0,0,1,0,0,25.5,22.71,0.049150058,0.282011549,0
28.8,95.74,17103,3,97,0,0,1,0,0,25.5,22.71,0.049150058,0.282011549,0
28.97,85.31,183178,11,17,0,1,0,1,0,25.5,22.71,0.049150058,0.282011549,0
30.09,66.46,238392,10,35,1,1,0,1,0,25.5,22.71,0.049150058,0.282011549,0
30.72,99.01,676596,20,5,0,1,0,0,0,25.5,22.71,0.049150058,0.282011549,0
36,93.65,580000,24,17,0,1,0,1,0,25.5,22.71,0.049150058,0.282011549,0
31.8,92.62,113352,6,23,0,1,0,0,0,28.2,22.71,0.258552,0.146157,1
23.4,78.74,40000,2,19,0,0,1,0,0,28.2,22.71,0.258604921,0.146102369,0
26.4,92.37,100890,5,21,0,1,0,0,0,28.2,22.71,0.258604921,0.146102369,0
30,81.33,57822,5,14,0,1,0,1,0,28.2,22.71,0.258604921,0.146102369,0
27.75,77.16,1721242,71,24,0,1,0,1,0,20.25,25.55,0.793594,0.16867,1
12,46.35,203888,23,98,1,0,0,1,0,20.25,25.55,0.792734475,0.168978282,0
13,63.87,380220,18,52,0,0,1,1,0,20.25,25.55,0.792734475,0.168978282,0
15,47.78,218511,21,26,1,0,1,1,0,20.25,25.55,0.792734475,0.168978282,0
15.18,92.39,809997,35,78,0,0,1,1,0,20.25,25.55,0.792734475,0.168978282,0
15.64,75.63,599107,27,81,1,0,1,1,0,20.25,25.55,0.792734475,0.168978282,0
18,26.16,182018,15,46,0,0,1,1,0,20.25,25.55,0.792734475,0.168978282,0
18.05,67.57,82568,10,84,1,0,1,1,0,20.25,25.55,0.792734475,0.168978282,0
