x,y
2.077,-0.931
5.32,4.109
8.305,8.173
8.332,8.773
2.311,5.824
8.169,4.89
4.515,6.594
3.577,3.402
0.819,2.46
9.014,8.848
6.165,3.836
4.768,7.893
9.223,5.853
3.23,3.463
4.572,3.025
9.719,11.287
8.838,7.176
4.908,4.213
4.769,6.305
9.461,9.944
1.5,2.207
6.214,4.351
7.645,4.228
3.049,5.086
9.613,8.768
8.277,10
0.738,-0.776
2.65,3.875
8.353,3.783
2.165,2.252
7.229,7.534
3.212,5.741
3.405,7.033
2.068,1.295
3.747,2.509
2.823,2.581
5.259,8.06
9.926,10.907
9.118,8.011
5.329,7.469
6.378,4.337
4.999,3.544
5.72,3.069
0.785,3.194
4.836,7.872
0.368,6.332
6.874,5.616
5.658,5.32
8.317,8.146
4.667,3.548
4.787,5.324
0.891,1.299
8.232,8.203
9.593,6.792
6.427,2.478
5.119,4.816
2.396,2.406
9.048,6.127
4.154,5.87
7.369,3.608
6.736,8.368
2.579,0.007
6.119,5.572
7.001,10.257
4.187,10.743
5.017,6.132
1.083,-1.654
5.716,7.292
0.341,-1.203
5.845,5.69
7.876,6.968
1.954,-0.285
4.249,3.486
8.29,5.091
5.185,3.766
7.98,7.62
4.12,4.604
5.656,4.178
1.279,5.602
2.626,3.615
1.227,2.455
7.895,5.736
5.625,2.156
8.127,4.471
2.915,-0.281
2.049,2.258
6.024,3.491
6.812,5.443
8.469,2.765
4.669,-0.172
8.778,8.392
3.626,4.221
2.863,2.665
4.916,5.957
4.209,3.97
5.082,6.117
5.151,5.899
4.243,3.16
9.489,10.296
9.669,4.143
9.562,10.923
7.319,5.196
8.959,10.867
3.735,6.61
0.497,3.074
9.289,8.979
0.727,1.24
6.932,5.498
7.56,9.3
6.791,7.932
3.308,2.773
4.496,4.748
6.091,8.306
2.86,6.827
6.974,3.303
9.547,7.461
9.854,6.622
2.752,2.163
8.156,9.431
2.815,2.525
0.718,0.743
2.972,4.832
0.028,0.158
1.964,5.317
6.794,9.329
3.42,2.95
8.643,6.786
6.629,9.017
0.235,0.278
6.102,6.422
1.594,1.757
0.731,0.043
3.679,5.584
2.652,1.868
0.866,4.033
4.79,4.975
7.018,6.437
7.2,9.36
2.802,6.395
5.358,3.07
8.514,7.379
2.973,4.662
8.37,8.814
0.05,-0.525
1.337,1.68
7.036,8.057
9.861,12.345
5.69,3.632
9.385,10.875
1.915,3.164
1.819,5.84
6.358,5.139
0.653,1.19
2.404,3.938
2.414,0.994
9.479,6.524
5.609,8.126
4.992,2.281
7.258,6.754
9.326,6.879
9.839,11.293
8.625,6.34
7.001,4.897
1.509,2.333
0.07,0.708
0.163,2.483
5.24,5.192
4.061,5.269
6.072,5.8
9.555,8.873
6.57,4.885
4.733,6.84
4.88,2.561
6.714,5.615
9.275,8.313
5.525,6.085
9.155,9.686
1.688,7.927
0.446,0.632
3.345,6.536
9.013,9.97
6.177,2.256
1.577,0.407
0.216,-0.266
6.995,8.153
5.051,5.838
4.472,5.747
6.568,6.638
6.607,9.946
1.761,3.515
3.625,4.817
8.635,9.017
4.524,5.873
6.795,6.812
5.353,7.684
7.265,3.598
6.603,3.354
5.169,5.193
2.89,4.161
3.807,5.13
3.1,4.644
5.779,7.427
8.824,7.108
9.445,9.604
6.203,6.766
7.585,6.191
6.56,2.57
3.913,5.267
0.532,0.414
2,0.647
4.633,6.624
0.777,4.487
9.905,8.996
9.035,8.539
8.242,6.305
7.643,6.836
1.712,6.001
4.361,4.259
5.984,6.784
9.081,7.737
8.03,5.72
1.812,5.415
6.434,7.04
8.24,3.627
9.738,7.939
1.152,1.836
7.315,6.041
2.549,4.613
2.527,2.759
7.881,9.131
1.582,7.843
9.37,7.72
4.873,9.695
2.031,1.872
5.971,4.106
2.52,5.28
6.217,8.424
7.978,3.702
3.571,0.937
8.018,3.871
9.424,7.757
6.31,5.887
1.386,2.876
2.258,5.627
8.554,6.786
9.984,6.969
7.149,3.589
6.267,6.158
6.051,7.198
7.746,4.838
1.249,0.623
4.347,3.738
1.971,8.023
8.914,8.317
5.034,3.334
7.059,8.932
6.172,6.846
6.711,7.836
1.572,-1.592
5.894,5.709
2.243,2.197
6.291,3.686
9.847,9.906
8.477,8.308
2.639,2.947
6.791,8.179
5.928,7.119
2.572,3.737
2.566,0.991
2.554,5.753
7.701,5.297
7.058,6.76
3.851,4.91
9.144,6.982
1.769,2.212
7.394,6.023
3.939,3.379
6.749,6.197
6.084,1.966
7.129,5.88
6.998,6.351
4.278,4.237
6.434,6.098
7.307,6.351
5.542,5.881
3.154,3.635
0.764,2.717
9.698,7.594
1.256,3.099
9.188,10.177
4.59,3.174
7.271,5.016
5.687,6.652
8.099,4.684
9.432,5.633
9.261,7.82
9.65,9.789
3.923,4.272
4.248,5.584
7.452,7.786
5.775,4
7.741,8.691
4.477,3.886
4.854,5.086
3.225,1.652
2.886,5.36
6.577,4.734
7.332,7.666
3.062,3.423
1.002,-0.585
9.755,10.795
7.802,6.466
6.219,8.933
4.788,5.763
7.107,5.608
3.233,2.344
5.781,4.475
0.992,3.333
9.277,11.855
5.237,8.053
6.449,6.93
5.231,6.044
6.965,4.532
1.295,3.914
3.688,6.09
5.228,7.995
9.665,11.079
5.396,4.66
3.96,9.979
1.54,4.377
7.734,9.56
4.863,10.434
5.131,5.97
3.195,4.485
5.932,5.483
7.585,9.15
6.923,6.814
5.085,8.656
9.586,12.412
8.439,9.094
0.441,5.172
4.005,5.429
8.139,8.695
4.888,6.101
3.508,4.894
5.762,4.877
6.132,1.72
7.153,7.492
8.847,4.519
0.625,1.166
7.237,6.809
5.383,7.534
4.63,5.799
2.445,3.901
4.53,2.507
6.673,6.866
5.967,4.856
2.229,3.508
9.747,9.213
2.034,4.656
6.524,3.434
5.764,4.34
7.303,8.267
7.442,5.762
5.563,3.366
9.587,13.1
2.622,1.921
9.167,7.95
7.137,5.122
2.004,-0.157
0.134,2.223
8.458,3.029
6.187,3.763
7.238,4.963
2.174,2.721
3.791,3.644
7.599,8.136
2.564,2.544
6.256,7.871
5.125,2.238
0.164,1.045
5.431,5.541
1.438,1.838
8.667,7.055
6.191,6.461
2.657,8.593
9.754,4.808
4.891,8.437
9.681,7.809
5.357,5.256
7.142,9.986
8.469,6.653
5.193,7.973
8.418,5.245
0.346,4.057
2.226,5.904
1.125,1.597
6.4,7.407
6.399,6.364
2.375,5.425
5.405,7.594
4.096,5.693
9.246,6.339
5.975,2.531
6.572,6.585
0.461,5.763
3.987,2.858
6.21,2.798
2.872,5.348
3.475,4.231
1.643,2.625
0.768,2.289
5.586,8.392
8.357,6.91
6.381,3.745
2.51,2.81
0.089,0.12
7.875,8.184
6.988,5.552
6.152,7.957
5.875,6.284
0.085,2.594
0.886,4.039
9.692,9.902
0.485,0.276
3.562,1.221
0.613,0.25
4.265,6.653
5.541,4.498
6.916,5.503
7.817,6.555
9.042,11.436
2.001,1.865
7.519,5.666
7.77,8.42
1.568,3.01
3.058,2.751
1.047,1.434
2.834,0.73
5.497,3.822
9.257,10.015
9,4.989
1.182,3.192
7.954,4.154
8.893,7.331
2.131,1.397
4.677,7.778
5.83,7.765
3.827,3.682
4.926,7.22
9.109,7.792
8.273,6.74
4.239,2.923
4.278,5.353
2.482,2.034
5.868,3.572
7.72,6.498
7.101,4.877
0.744,-1.701
4.796,5.075
1.603,3.712
8.047,7.457
6.774,6.788
4.065,1.326
0.606,0.46
8.041,10.093
7.656,8.05
6.938,5.367
4.026,3.362
2.537,4.146
6.114,6.426
1.972,1.291
4.505,4.05
0.954,2.125
9.538,6.197
4.339,4.742
2.428,4.387
7.503,2.883
0.504,1.179
4.72,3.506
8.161,7.178
2.098,1.467
4.914,5.653
3.447,4.768
9.595,4.955
4.687,5.158
0.412,-0.237
0.087,0.178
4.276,8.55
4.088,-0.869
0.199,-0.762
2.341,2.975
7.815,5.223
8.505,6.282
8.05,8.297
0.067,2.569
2.236,3.55
2.661,1.906
0.112,-0.066
6.035,7.011
5.453,4.474
9.004,8.59
6.638,2.208
5.913,6.519
4.889,6.749
4.629,4.032
5.059,4.992
8.819,4.107
6.506,8.02
1.53,2.677
7.806,4.907
3.082,3.472
6.947,6.371
4.291,2.298
3.275,3.812
3.052,5.495
4.859,6.884
5.013,4.183
9.348,9.028
9.247,8.101
0.999,3.447
0.664,-0.317
4.934,2.35
0.853,3.673
1.868,5.391
1.531,5.583
7.964,8.489
3.087,4.22
2.711,3.824
6.491,8.492
3.538,5.51
6.098,5.766
9.6,6.696
5.207,4.268
2.033,-2.534
5.857,5.169
8.754,5.836
4.892,7.46
3.025,2.397
6.979,9.343
2.921,3.599
7.077,6.893
9.285,8.741
3.21,1.412
7.906,5.442
8.78,9.52
2.889,0.679
2.717,2.235
0.232,4.325
2.445,3.933
3.242,2.592
6.154,7.709
7.927,6.675
1.425,2.68
0.038,2.574
5.575,7.945
0.984,1.73
3.594,2.734
0.254,1.094
8.987,6.71
5.227,6.397
4.149,4.22
2.025,6.48
8.201,5.094
7.433,4.227
4.528,6.59
0.641,2.042
3.402,4.277
8.584,8.227
0.676,3.188
3.276,2.856
3.112,2.601
0.707,2.935
5.428,4.185
8.15,4.809
6.299,3.204
6.379,8.27
0.792,1.061
7.702,6.037
9.915,10.456
2.295,2.971
5.697,7.637
7.517,6.143
6.877,9.513
9.377,11.775
4.76,7.645
8.189,8.265
9.842,9.47
5.075,3.293
1.697,2.362
5.458,5.719
9.694,8.409
6.988,7.916
9.6,9.767
8.419,5.393
1.497,1.367
4.805,8.955
4.494,2.749
4.365,3.977
5.319,4.038
3.601,2.103
5.876,8.23
9.02,9.141
2.892,5.141
8.453,6.895
7.563,5.679
4.204,5.731
5.205,5.836
6.329,4.19
7.966,5.363
3.262,2.166
6.04,2.815
4.194,6.518
7.869,4.646
4.789,4.17
8.281,5.785
3.786,3.593
9.791,7.23
4.747,0.091
6.515,4.724
2.798,1.504
9.753,7.61
3.411,5.845
8.256,5.296
9.439,7.719
4.669,3.595
7.554,4.753
0.667,1.117
2.15,1.209
8.832,6.263
2.194,1.527
2.655,5.01
4.764,4.675
2.556,2.72
8.425,5.715
2.028,4.767
8.912,7.372
4.297,5.176
2.566,5.395
2.074,2.591
8.5,8.112
5.088,4.217
2.151,6.052
4.977,4.591
9.202,12.701
5.986,2.329
0.332,0.439
0.664,-0.62
8.821,7.97
8.042,7.755
1.3,-0.27
2.634,3.53
1.734,3.991
4.582,5.983
5.321,3.442
6.721,7.008
1.096,1.563
2.617,1.461
8.562,5.381
1.655,-1.216
0.194,3.425
2.153,1.991
7.139,6.27
9.137,6.847
4.122,2.373
3.972,6.54
8.035,3.225
1.18,0.26
2.493,1.448
4.25,2.613
9.395,7.619
6.172,2.013
1.279,1.908
4.27,2.449
1.29,0.625
0.899,-0.659
4.88,5.217
2.042,1.784
0.46,0.397
8.425,6.627
3.26,0.574
6.397,6.821
6.959,4.759
5.444,6.266
2.45,4.318
7.123,9.528
6.238,2.529
5.161,7.208
0.023,5.526
9.925,9.254
5.663,10.125
1.632,7.581
4.22,1.996
3.719,3.414
4.112,5.561
6.266,4.806
8.191,9.026
3.154,8.232
6.57,5.18
3.164,3.31
8.1,6.012
1.456,0.981
3.613,4.472
2.545,5.447
6.819,3.692
4.538,9.599
7.518,5.228
9.109,9.53
7.576,7.969
0.596,4.187
7.25,6.345
4.933,7.796
5.64,6.505
8.768,7.628
4.493,3.335
3.336,3.9
0.062,-0.053
2.169,2.41
7.813,4.007
7.456,8.2
9.185,9.108
7.194,5.939
3.362,4.491
3.505,1.881
7.033,6.451
5.136,7.222
5.424,4.593
3.753,2.366
9.618,8.664
1.911,0.626
4.687,3.987
1.563,2.233
0.067,-0.854
5.843,8.071
5.775,9.83
6.555,5.221
2.787,1.994
1.796,1.557
7.531,8.424
9.993,6.655
4.627,5.14
3.013,0.946
3.663,1.782
5.54,8.46
8.993,6.011
0.833,0.707
9.71,10.14
2.542,2.266
3.12,3.689
5.856,2.804
5.624,3.505
2.762,0.444
2.527,4.38
2.322,2.684
1.21,-1.146
7.63,5.931
0.228,2.58
4.718,4.742
0.337,3.276
4.843,7.535
6.665,7.592
9.492,7.313
7.625,7.877
7.007,8.258
0.245,4.879
1.916,-1.334
5.989,5.102
8.564,8.746
7.63,5.944
1.594,0.562
0.64,3.939
7.308,4.654
5.408,4.238
8.31,7.437
7.552,4.679
4.919,9.036
2.754,3.602
1.306,4.143
6.071,5.409
3.438,2.322
1.652,6.166
1.22,4.289
8.697,5.438
8.926,7.071
2.836,6.13
5.756,5.193
8.931,6.201
3.266,7.515
2.952,5.183
5.353,6.315
3.434,6.738
3.819,4.71
9.515,6.629
0.531,5
2.065,3.551
7.445,6.912
3.917,4.85
9.881,11.016
7.503,4.967
3.833,6
6.963,2.581
8.953,7.738
1.933,2.483
3.002,2.96
3.287,2.048
7.759,5.709
9.957,8.951
7.85,4.944
6.219,6.114
4.812,4.924
3.84,5.928
6.119,4.67
3.328,1.742
5.48,5.396
5.081,4.939
5.455,8.669
5.262,4.548
2.481,1.672
4.99,6.012
3.243,4.361
9.609,9.869
2.771,3.243
2.956,3.136
6.305,3.282
8.4,8.034
3.525,3.664
1.365,-0.363
2.669,3.402
0.004,-1.06
4.624,6.377
5.528,6.204
6.066,5.675
2.73,1.484
6.609,5.568
3.794,4.193
6.318,10.614
5.214,5.494
1.754,0.332
0.958,5.027
4.524,7.013
2.022,4.534
1.325,0.68
1.991,5.407
1.303,6.14
9.56,6.825
6.792,7.715
6.623,10.627
7.893,8.658
1.63,4.397
9.652,8.725
2.619,2.286
5.782,4.75
5.4,3.455
1.053,7.184
2.687,2.91
7.674,7.959
7.445,4.931
6.023,6.192
8.004,7.953
5.485,6.982
9.563,9.77
7.529,6.427
4.719,6.063
3.283,4.569
9.212,8.957
9.747,7.748
5.147,4.838
8.842,6.789
1.531,1.246
9.223,4.127
1.497,2.932
6.675,3.53
3.942,1.254
4.406,2.887
1.059,1.771
0.968,4.612
4.777,4.033
6.101,3.959
8.314,3.851
7.124,9.621
7.61,7.415
1.318,4.289
3.373,2.991
1.472,-0.138
1.807,3.585
0.944,4.173
4.707,4.733
4.229,1.43
2.592,6.735
1.021,-0.02
9.202,9.273
6.683,6.035
5.789,7.282
6.419,4.817
3.795,4.723
9.017,3.812
1.072,2.664
5.365,3.788
7.273,7.99
6.596,5.956
0.828,0.866
9.686,7.914
7.415,10.199
0.221,-1.982
8.202,8.579
2.411,4.425
3.7,3.001
7.724,5.119
1.649,1.63
4.247,2.105
1.961,0.096
4.527,1.61
8.01,8.806
3.669,5.49
8.897,7.014
7.045,6.837
2.966,1.77
0.197,4.289
9.57,7.885
7.644,5.36
6.027,8.855
5.355,4.675
8.22,5.425
0.078,2.046
1.281,1.26
5.28,6.197
8.774,5.462
4.751,6.623
7.609,9.406
1.603,4.4
8.396,9.786
4.966,4.678
5.141,6.873
2.911,5.845
8.705,7.589
1.645,1.717
1.472,3.422
7.533,6.134
5.551,6.149
3.486,8.802
1.246,1.933
1.766,5.577
2.429,2.802
8.799,6.751
8.902,7.028
0.125,0.285
7.974,6.6
4.11,4.417
1.407,2.416
5.6,1.942
7.038,4.026
2.857,0.635
3.327,-1.139
1.449,3.898
3.342,4.197
3.453,-0.943
2.73,4.178
7.342,3.252
9.041,8.748
4.782,2.69
9.572,1.542
9.421,8.006
4.834,6.745
2.388,1.051
9.746,6.481
4.429,4.492
7.075,7.293
5.278,3.632
9.685,10.704
9.151,9.064
8.078,9.172
1.453,0.184
9.07,5.938
4.704,6.983
6.346,5.505
9.939,11.142
2.455,0.663
5.966,7.583
3.028,6.27
0.253,4.929
1.645,0.831
5.044,7.246
0.916,-0.763
5.169,3.377
4.842,6.086
0.097,-0.237
3.001,3.848
1.283,2.605
9.8,10.792
4.918,0.518
5.651,3.531
8.135,7.981
3.752,4.91
8.408,7.163
3.647,3.945
1.77,2.515
8.872,7.615
6.081,2.638
8.169,6.689
4.17,0.27
0.399,2.219
8.254,10.977
2.868,-0.309
4.122,3.461
9.874,10.727
5.369,6.486
3.935,5.572
8.665,8.535
6.861,6.155
8.738,8.303
8.061,6.572
2.013,3.767
7.033,7.721
0.321,0.222
8.635,9.09
3.74,4.926
5.588,5.53
8.066,7.588
7.549,6.276
6.824,8.531
1.859,2.542
3.633,4.391
7.835,8.347
7.246,8.591
3.84,1.705
2.586,4.145
6.143,2.146
5.844,3.506
6.07,3.025
9.201,8.291
8.74,3.146
5.093,5.417
4.966,4.919
2.596,4.972
6.056,5.417
1.769,1.247
8.661,5.108
3.753,7.46
5.64,4.125
3.761,2.945
0.32,6.774
5.457,3.529
4.118,0.275
9.321,7.488
7.895,8.545
2.126,6.273
3.541,6.785
4.098,4.549
5.823,6.063
0.26,2.377
7.173,9.238
5.591,4.648
0.711,-0.933
5.833,8.543
1.82,3.926
3.547,4.013
3.939,7.453
6.21,8.343
9.481,6.92
8.47,8.188
9.781,7.351
7.168,5.322
6.595,6.133
1.803,2.388
1.812,4.809
1.706,0.847
7.191,9.365
4.631,4.943
6.816,7.983
3.27,3.226
1.019,-3.138
1.622,5.482
2.671,3.492
8.87,6.847
8.419,8.386
7.819,10.462
7.72,4.988
0.883,-1.399
2.917,4.398
6.143,7.203
5.353,5.881
5.011,2.621
3.684,8.782
4.628,5.322
9.348,5.235
0.673,3.501
2.817,3.381
8.042,6.171
4.563,2.506
8.563,10.405
9.221,6.017
8.982,10.718
5.026,5.82
5.872,7.89
6.057,6.885
8.953,9.593
7.722,6.739
4.377,5.599
5.212,3.652
5.805,4.704
8.027,8.357
0.109,1.678
8.531,9.242
2.323,7.358
2.382,3.531
8.705,7.736
7.459,5.06
4.995,6.274
2.028,4.69
9.624,13.767
4.678,4.653
1.731,8.131
7.424,10.528
5.972,5.656
7.169,6.075
5.018,3.031
1.757,5.661
3.559,2.081
5.576,4.882
5.865,5.158
3.75,4.278
5.257,3.45
0.962,2.863
1.095,3.163
2.471,3.25
2.585,3.747
8.701,6.733
8.301,4.745
3.43,4.512
7.742,6.47
1.041,3.724
9.564,5.431
8.837,2.379
3.007,1.733
8.725,6.882
7.551,5.787
1.654,0.835
7.125,6.639
0.94,4.311
7.648,6.24
1.706,2.477
3.71,6.041
2.369,3.964
4.923,4.489
6.095,9.894
7.472,3.61
0.251,5.14
8.769,5.196
1.435,5.624
2.655,4.73
9.421,7.108
1.509,0.246
9.412,7.356
1.095,4.706
4.461,7.448
0.354,3.283
7.578,6.047
6.523,5.626
0.671,-1.071
9.141,10.73
1.745,8.776
4.643,7.574
3.483,0.5
2.074,3.86
7.366,6.464
7.691,8.45
7.651,5.052
7.446,5.613
6.474,9.919
9.592,8.153
6.565,6.765
4.331,7.703
0.468,1.951
0.703,1.391
2.97,6.73
0.824,2.689
2.074,2.403
5.064,7.975
5.015,2.601
9.819,4.962
6.862,3.386
7.335,5.938
3.478,8.488
2.544,5.008
6.763,4.413
7.635,7.824
9.788,5.863
4.994,4.028
1.261,0.238
0.432,2.891
9.403,7.224
1.025,-0.775
0.143,-0.093
0.023,0.607
1.573,3.45
2.726,5.488
4.546,7.317
9.911,8.49
7.407,3.297
6.271,5.836
7.998,9.106
9.493,7.767
6.41,5.944
9.469,7.974
2.228,2.423
7.18,3.713
5.701,6.603
0.41,3.143
1.917,2.867
8.302,5.624
7.073,5.3
1.16,-0.702
1.394,3.7
2.717,4.968
6.834,9.539
4.213,4.783
9.882,9.787
9.032,5.827
0.508,0.782
2.635,1.321
6.266,5.14
7.787,6.766
3.859,6.09
8.196,6.416
9.224,8.149
0.8,2.806
9.334,4.547
1.057,2.209
4.792,6.823
5.36,9.093
0.002,4.045
6.815,5.375
6.841,5.427
1.347,1.165
1.986,0.522
3.152,5.586
0.332,-0.034
2.21,3.784
5.718,4.978
9.903,10.18
9.992,12.203
6.39,6.823
0.319,-2.449
5.531,3.563
0.005,3.298
5.009,5.429
9.39,7.336
8.545,8.798
7.937,5.287
1.239,0.459
3.738,4.291
3.36,6.044
1.935,2.654
3.723,2.301
1.064,5.014
3.471,4.417
1.569,4.072
1.848,1.497
4.583,7.592
7.889,4.336
7.289,4.742
8.281,9.774
6.666,7.708
5.866,7.602
5.146,4.288
7.918,6.893
2.179,-0.856
3.417,2.69
5.336,1.78
4.367,4.082
2.992,1.457
5.968,6.165
2.043,1.574
4.44,1.081
2.143,5.673
5.864,5.857
7.855,6.865
0.576,1.562
4.382,0.8
7.42,9.639
8.097,6.396
6.227,10.626
6.981,5.409
4.271,7.74
3.306,1.714
6.885,7.678
9.888,3.939
3.294,2.707
8.994,7.478
3.034,-1.551
4.62,4.43
2.63,2.966
4.596,4.701
9.17,8.958
6.315,5.616
9.776,8.89
3.756,5.428
6.184,6.95
6.528,4.737
8.866,10.025
3.157,5.183
5.942,4.637
0.223,2.197
4.858,7.131
3.57,5.838
2.689,5.358
2.237,3.696
4.58,5.98
8.809,8.237
4.232,5.106
2.227,3.182
2.108,4.841
9.225,8.447
2.763,6.017
4.041,5.948
6.999,4.729
